Epoch	EpLen	AvgRet	StdRet	MaxRet	MinRet	FinalScore	AvgVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossEnt	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	200.0	0.33015478	0.09710161	0.9193954	0.15770838	0.4187723	0.13035098	0.03584334	0.28444976	-0.008568533	200	-0.0016320227	-0.54400784	1.2880255	-7.934403e-06	-1.1017891	0.54400784	0.00077960704	0.0	99.0	81.03025579452515
1	200.0	0.29963115	0.089198254	0.89549696	0.13927576	0.37697047	4.414425	0.23762739	5.348675	3.3424456	400	-0.001633791	-0.5445975	0.5880571	-6.204669e-05	-0.37640673	0.54459745	0.0010408369	0.0	99.0	161.17278265953064
2	200.0	0.38086903	0.120577045	0.9070427	0.14142099	0.4892564	7.05637	0.33797365	8.438955	5.5726037	600	-0.0016315031	-0.54383445	0.8499846	-2.1805638e-05	-0.43893754	0.5438344	0.0006266825	0.0	99.0	241.26019597053528
3	200.0	0.16611564	0.071395345	0.9242282	0.072637886	0.21186502	9.157105	0.30858296	10.192024	6.919573	800	-0.0016267418	-0.5422476	0.23367546	-5.3817406e-05	0.014816955	0.54224753	0.0007875795	0.0	99.0	321.3931818008423
4	200.0	0.33856466	0.10000615	0.7365627	0.15905553	0.42894036	9.774104	0.40975967	11.422724	7.8857083	1000	-0.0016296132	-0.5432037	0.48013213	-1.035165e-06	-0.10884076	0.5432038	0.0009973175	0.0	99.0	401.7117726802826
5	200.0	0.33152676	0.10366166	0.9954661	0.15559413	0.42297623	11.341147	0.363514	12.675166	9.648765	1200	-0.001628285	-0.5427618	0.4577116	-6.587419e-05	-0.027118146	0.54276186	0.0015861955	0.0	99.0	478.2317924499512
6	200.0	0.32377	0.0972013	0.8401719	0.14411746	0.41161957	11.622993	0.38567767	13.354251	9.793006	1400	-0.0016229039	-0.540968	0.42351922	-3.5843113e-06	-0.019393682	0.540968	0.0008496042	0.0	99.0	558.3143515586853
7	200.0	0.33032757	0.10828952	0.97260517	0.15028618	0.42343146	12.372921	0.45423558	14.329926	10.556566	1600	-0.0016258092	-0.5419362	0.47626472	-6.9028116e-05	-0.006103784	0.5419363	0.0015311007	0.0	99.0	638.362809419632
8	200.0	0.3275646	0.09887785	0.9178396	0.15847914	0.41050732	12.40452	0.5051388	14.443036	10.374846	1800	-0.0016331265	-0.5443755	0.4501845	-6.5007946e-05	-0.0027008057	0.5443755	0.0029268623	0.0	99.0	714.9069538116455
9	200.0	0.34506497	0.10508837	0.88088304	0.16938017	0.43459135	13.29191	0.58794236	15.648344	11.052942	2000	-0.0016325037	-0.54416823	0.51156145	-7.334328e-05	-0.005583167	0.5441682	0.0013107958	0.0	99.0	791.1765413284302
10	200.0	0.33842644	0.09734896	0.9012434	0.16475123	0.42877668	13.442745	0.5621166	15.4094715	11.094791	2200	-0.0016314546	-0.5438183	0.4842464	-6.430817e-05	0.0044366717	0.5438183	0.0020785816	0.0	99.0	867.5548992156982
11	200.0	0.27627474	0.095483564	0.97183645	0.119351804	0.35832503	12.943783	0.57440555	15.303754	10.747854	2400	-0.0016266424	-0.5422143	0.43085185	-1.5702215e-05	-0.009508371	0.5422143	0.0009907054	0.0	99.0	947.6131081581116
12	200.0	0.29723826	0.08912081	0.85709286	0.13443479	0.37398452	12.956436	0.74737686	16.122824	9.629124	2600	-0.00162551	-0.5418365	0.42723468	-3.1527597e-06	-0.0051003695	0.5418366	0.0016600497	0.0	99.0	1024.0223245620728
13	200.0	0.3103791	0.101558395	0.9669195	0.15158461	0.39907405	12.762186	0.74611187	15.656123	9.872044	2800	-0.0016199885	-0.53999615	0.45845765	4.513073e-06	-0.0016523004	0.53999615	0.0006964677	0.0	99.0	1100.571561574936
14	200.0	0.42524236	0.109324604	0.9693948	0.17992724	0.53300524	13.723822	0.8314834	16.617134	10.295113	3000	-0.0016244621	-0.54148746	0.69228697	-6.24432e-05	-0.08876938	0.5414875	0.0028717623	0.0	99.0	1177.0543026924133
15	200.0	0.32268122	0.10107207	0.9207321	0.16259669	0.4139886	13.93889	0.8147744	16.99419	10.424584	3200	-0.0016241786	-0.541393	0.5120789	-7.89878e-06	2.348423e-05	0.541393	0.0012186264	0.0	99.0	1256.6902439594269
16	200.0	0.39172494	0.117643476	0.9673911	0.16040948	0.496507	14.55888	1.036841	18.024303	10.18746	3400	-0.0016267219	-0.5422406	0.65975356	-4.3793232e-05	-0.017273128	0.5422407	0.0010836376	0.0	99.0	1337.9344394207
17	200.0	0.3210221	0.101189986	0.89739746	0.14271018	0.4123994	14.204673	0.8912106	17.659323	10.626227	3600	-0.0016245515	-0.54151684	0.529666	-2.5574118e-05	-0.0066765547	0.54151696	0.00078723417	0.0	99.0	1414.4594767093658
